2025-07-15 20:07:46,039 | WARNING | django.server | "GET /api/backups/2/ HTTP/1.1" 404 5595
2025-07-15 20:08:21,773 | WARNING | django.request | Not Found: /api/backups/1/
2025-07-15 20:08:21,773 | WARNING | django.server | "GET /api/backups/1/ HTTP/1.1" 404 5595
2025-07-15 20:08:53,559 | INFO | django.server | "POST /api/backups/ HTTP/1.1" 201 141
2025-07-15 20:09:25,351 | WARNING | django.request | Not Found: /api/backups/3/
2025-07-15 20:09:25,351 | WARNING | django.server | "GET /api/backups/3/ HTTP/1.1" 404 5595
2025-07-15 20:09:37,232 | INFO | django.server | "POST /api/backups/ HTTP/1.1" 201 141
2025-07-15 20:10:41,173 | INFO | django.server | "GET /api/backups/ HTTP/1.1" 200 569
2025-07-15 20:51:58,036 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/views.py changed, reloading.
2025-07-15 20:51:58,655 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 20:52:01,845 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/urls.py changed, reloading.
2025-07-15 20:52:02,018 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 20:52:08,315 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 20:54:21,569 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 20:55:01,363 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 20:56:41,104 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/urls.py changed, reloading.
2025-07-15 20:56:41,319 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 20:56:46,349 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 20:56:54,236 | INFO | django.server | "GET /api/backups/1/ HTTP/1.1" 200 141
2025-07-15 20:57:03,458 | INFO | django.server | "PUT /api/backups/1/ HTTP/1.1" 200 141
2025-07-15 20:57:10,724 | INFO | django.server | "PUT /api/backups/2/ HTTP/1.1" 200 141
2025-07-15 20:57:39,186 | INFO | django.server | "DELETE /api/backups/4/ HTTP/1.1" 204 0
2025-07-15 20:57:48,409 | INFO | django.server | "GET /api/backups/ HTTP/1.1" 200 427
2025-07-15 20:59:26,480 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/views.py changed, reloading.
2025-07-15 20:59:26,679 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:03:30,115 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:03:35,244 | WARNING | django.request | Unauthorized: /api/incidents/
2025-07-15 21:03:35,244 | WARNING | django.server | "GET /api/incidents/ HTTP/1.1" 401 172
2025-07-15 21:04:39,666 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 21:05:02,065 | INFO | django.server | "GET /api/incidents/ HTTP/1.1" 200 2
2025-07-15 21:05:24,974 | WARNING | django.request | Method Not Allowed: /api/incidents/1/
2025-07-15 21:05:24,975 | WARNING | django.server | "POST /api/incidents/1/ HTTP/1.1" 405 41
2025-07-15 21:05:37,560 | INFO | django.server | "POST /api/incidents/ HTTP/1.1" 201 200
2025-07-15 21:05:44,977 | INFO | django.server | "GET /api/incidents/ HTTP/1.1" 200 202
2025-07-15 21:05:49,900 | WARNING | django.request | Method Not Allowed: /api/incidents/1/
2025-07-15 21:05:49,900 | WARNING | django.server | "GET /api/incidents/1/ HTTP/1.1" 405 40
2025-07-15 21:49:28,303 | WARNING | django.request | Method Not Allowed: /api/incidents/1/
2025-07-15 21:49:28,304 | WARNING | django.server | "GET /api/incidents/1/ HTTP/1.1" 405 40
2025-07-15 21:49:33,648 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:49:36,418 | WARNING | django.request | Method Not Allowed: /api/incidents/1/
2025-07-15 21:49:36,418 | WARNING | django.server | "GET /api/incidents/1/ HTTP/1.1" 405 40
2025-07-15 21:49:43,127 | INFO | django.server | "GET /api/incidents/ HTTP/1.1" 200 202
2025-07-15 21:49:49,936 | WARNING | django.request | Method Not Allowed: /api/incidents/1/
2025-07-15 21:49:49,937 | WARNING | django.server | "GET /api/incidents/1/ HTTP/1.1" 405 40
2025-07-15 21:51:30,911 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/views.py changed, reloading.
2025-07-15 21:51:31,115 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:52:09,212 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/urls.py changed, reloading.
2025-07-15 21:52:09,407 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:52:25,975 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/urls.py changed, reloading.
2025-07-15 21:52:26,562 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:54:09,220 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/views.py changed, reloading.
2025-07-15 21:54:09,731 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:54:30,764 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 21:54:41,974 | INFO | django.server | "GET /api/incidents/1/ HTTP/1.1" 200 200
2025-07-15 21:54:50,277 | INFO | django.server | "PUT /api/incidents/1/ HTTP/1.1" 200 200
2025-07-15 21:54:56,298 | INFO | django.server | "GET /api/incidents/1 HTTP/1.1" 301 0
2025-07-15 21:54:56,334 | INFO | django.server | "GET /api/incidents/1/ HTTP/1.1" 200 200
2025-07-15 21:55:07,313 | INFO | django.server | "PUT /api/incidents/1/ HTTP/1.1" 200 200
2025-07-15 21:55:12,674 | WARNING | django.request | Method Not Allowed: /api/incidents/1/
2025-07-15 21:55:12,674 | WARNING | django.server | "DELETE /api/incidents/1/ HTTP/1.1" 405 43
2025-07-15 22:08:48,271 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/views.py changed, reloading.
2025-07-15 22:08:48,844 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 22:09:30,151 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/urls.py changed, reloading.
2025-07-15 22:09:30,628 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 22:09:38,087 | WARNING | django.request | Unauthorized: /api/incidents/1/
2025-07-15 22:09:38,087 | WARNING | django.server | "DELETE /api/incidents/1/ HTTP/1.1" 401 172
2025-07-15 22:10:38,516 | WARNING | django.request | Unauthorized: /api/incidents/1/
2025-07-15 22:10:38,516 | WARNING | django.server | "DELETE /api/incidents/1/ HTTP/1.1" 401 176
2025-07-15 22:10:56,246 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 22:11:11,898 | INFO | django.server | "DELETE /api/incidents/1/ HTTP/1.1" 204 0
2025-07-15 22:11:19,074 | WARNING | django.request | Not Found: /api/incidents/1/
2025-07-15 22:11:19,074 | WARNING | django.server | "PUT /api/incidents/1/ HTTP/1.1" 404 49
2025-07-15 22:11:26,106 | INFO | django.server | "GET /api/incidents/ HTTP/1.1" 200 2
2025-07-15 22:11:37,968 | INFO | django.server | "POST /api/incidents/ HTTP/1.1" 201 200
2025-07-15 22:11:45,556 | INFO | django.server | "GET /api/incidents/ HTTP/1.1" 200 202
2025-07-15 22:11:54,695 | INFO | django.server | "GET /api/incidents/2/ HTTP/1.1" 200 200
2025-07-15 22:11:59,054 | INFO | django.server | "PUT /api/incidents/2/ HTTP/1.1" 200 200
2025-07-15 22:12:03,500 | INFO | django.server | "DELETE /api/incidents/2/ HTTP/1.1" 204 0
2025-07-15 22:18:46,241 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/admin.py changed, reloading.
2025-07-15 22:18:46,508 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 22:19:40,767 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/admin.py changed, reloading.
2025-07-15 22:19:40,975 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 22:19:47,269 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 22:19:54,167 | INFO | django.server | "POST /admin/logout/ HTTP/1.1" 200 3568
2025-07-15 22:19:54,229 | INFO | django.server | "GET /static/admin/js/theme.js HTTP/1.1" 304 0
2025-07-15 22:19:54,235 | INFO | django.server | "GET /static/admin/css/base.css HTTP/1.1" 304 0
2025-07-15 22:19:54,236 | INFO | django.server | "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
2025-07-15 22:19:54,238 | INFO | django.server | "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
2025-07-15 22:19:54,239 | INFO | django.server | "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
2025-07-15 22:19:54,243 | INFO | django.server | "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
2025-07-15 22:19:56,400 | INFO | django.server | "GET /admin/ HTTP/1.1" 302 0
2025-07-15 22:19:56,451 | INFO | django.server | "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
2025-07-15 22:19:56,547 | INFO | django.server | "GET /static/admin/css/login.css HTTP/1.1" 304 0
2025-07-15 22:20:06,133 | INFO | django.server | "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
2025-07-15 22:20:06,190 | INFO | django.server | "GET /admin/ HTTP/1.1" 200 9028
2025-07-15 22:20:06,275 | INFO | django.server | "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
2025-07-15 22:20:06,329 | INFO | django.server | "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
2025-07-15 22:20:06,330 | INFO | django.server | "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
2025-07-15 23:09:20,496 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 23:09:25,425 | WARNING | django.request | Unauthorized: /api/secured/
2025-07-15 23:09:25,427 | WARNING | django.server | "GET /api/secured/ HTTP/1.1" 401 172
2025-07-15 23:10:07,621 | WARNING | django.request | Method Not Allowed: /api/token/
2025-07-15 23:10:07,623 | WARNING | django.server | "GET /api/token/ HTTP/1.1" 405 40
2025-07-15 23:10:31,310 | WARNING | django.request | Method Not Allowed: /api/token/
2025-07-15 23:10:31,310 | WARNING | django.server | "GET /api/token/ HTTP/1.1" 405 40
2025-07-15 23:20:49,190 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 23:21:49,102 | INFO | api.views | oumaima a accédé à /api/secured/
2025-07-15 23:21:49,103 | INFO | django.server | "GET /api/secured/ HTTP/1.1" 200 48
2025-07-15 23:32:28,349 | INFO | django.utils.autoreload | /home/oumaima/SecureStack/backend/api/views.py changed, reloading.
2025-07-15 23:32:29,921 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-15 23:36:58,916 | WARNING | django.request | Not Found: /api/promote/
2025-07-15 23:36:58,918 | WARNING | django.server | "POST /api/promote/ HTTP/1.1" 404 5872
2025-07-15 23:37:33,808 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-15 23:37:50,683 | WARNING | django.request | Not Found: /api/promote/
2025-07-15 23:37:50,683 | WARNING | django.server | "POST /api/promote/ HTTP/1.1" 404 5872
2025-07-15 23:38:01,286 | WARNING | django.request | Not Found: /api/promote/
2025-07-15 23:38:01,286 | WARNING | django.server | "POST /api/promote/ HTTP/1.1" 404 5872
2025-07-16 09:03:16,535 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2025-07-16 09:03:20,326 | WARNING | django.request | Unauthorized: /api/promote/
2025-07-16 09:03:20,326 | WARNING | django.server | "POST /api/promote/ HTTP/1.1" 401 172
2025-07-16 09:03:32,496 | INFO | django.server | "POST /api/token/ HTTP/1.1" 200 483
2025-07-16 09:03:44,824 | WARNING | django.request | Unauthorized: /api/promote/
